iter	Passed	Remaining
0	0	86
1	1	90
2	2	89
3	3	85
4	4	82
5	5	82
6	6	82
7	7	81
8	7	80
9	8	79
10	9	79
11	10	78
12	11	76
13	12	75
14	13	75
15	13	73
16	14	72
17	15	71
18	16	71
19	17	70
20	18	69
21	19	69
22	20	68
23	21	68
24	22	68
25	23	67
26	24	67
27	25	66
28	26	65
29	28	65
30	29	64
31	29	63
32	30	62
33	31	60
34	32	59
35	32	58
36	33	57
37	34	57
38	35	56
39	36	55
40	37	54
41	39	53
42	40	53
43	40	51
44	41	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	42
54	50	41
55	52	40
56	52	39
57	53	38
58	54	37
59	55	36
60	56	35
61	57	34
62	58	34
63	59	33
64	60	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	23
74	69	23
75	70	22
76	71	21
77	72	20
78	72	19
79	73	18
80	74	17
81	75	16
82	76	15
83	76	14
84	77	13
85	78	12
86	79	11
87	80	10
88	81	10
89	82	9
90	83	8
91	83	7
92	84	6
93	85	5
94	86	4
95	87	3
96	88	2
97	89	1
98	90	0
99	90	0
