gender,regions,education_level,lncome,health_issue,sales(k),earlier_sales(k),quantity_sold
female,group B,bachelor's degree,standard,no,72,72,74
female,group C,some college,standard,yes,69,90,88
female,group B,master's degree,standard,no,90,95,93
male,group A,associate's degree,below standard,no,47,57,44
male,group C,some college,standard,no,76,78,75
female,group B,associate's degree,standard,no,71,83,78
female,group B,some college,standard,yes,88,95,92
male,group B,some college,below standard,no,40,43,39
male,group D,high school,below standard,yes,64,64,67
female,group B,high school,below standard,no,38,60,50
male,group C,associate's degree,standard,no,58,54,52
male,group D,associate's degree,standard,no,40,52,43
female,group B,high school,standard,no,65,81,73
male,group A,some college,standard,yes,78,72,70
female,group A,master's degree,standard,no,50,53,58
female,group C,some high school,standard,no,69,75,78
male,group C,high school,standard,no,88,89,86
female,group B,some high school,below standard,no,18,32,28
male,group C,master's degree,below standard,yes,46,42,46
female,group C,associate's degree,below standard,no,54,58,61
male,group D,high school,standard,no,66,69,63
female,group B,some college,below standard,yes,65,75,70
male,group D,some college,standard,no,44,54,53
female,group C,some high school,standard,no,69,73,73
male,group D,bachelor's degree,below standard,yes,74,71,80
male,group A,master's degree,below standard,no,73,74,72
male,group B,some college,standard,no,69,54,55
female,group C,bachelor's degree,standard,no,67,69,75
male,group C,high school,standard,no,70,70,65
female,group D,master's degree,standard,no,62,70,75
female,group D,some college,standard,no,69,74,74
female,group B,some college,standard,no,63,65,61
female,group E,master's degree,below standard,no,56,72,65
male,group D,some college,standard,no,40,42,38
male,group E,some college,standard,no,97,87,82
male,group E,associate's degree,standard,yes,81,81,79
female,group D,associate's degree,standard,no,74,81,83
female,group D,some high school,below standard,no,50,64,59
female,group D,associate's degree,below standard,yes,75,90,88
male,group B,associate's degree,below standard,no,57,56,57
male,group C,associate's degree,below standard,no,55,61,54
female,group C,associate's degree,standard,no,58,73,68
female,group B,associate's degree,standard,no,53,58,65
male,group B,some college,below standard,yes,59,65,66
female,group E,associate's degree,below standard,no,50,56,54
male,group B,associate's degree,standard,no,65,54,57
female,group A,associate's degree,standard,yes,55,65,62
female,group C,high school,standard,no,66,71,76
female,group D,associate's degree,below standard,yes,57,74,76
male,group C,high school,standard,yes,82,84,82
male,group E,some college,standard,no,53,55,48
male,group E,associate's degree,below standard,yes,77,69,68
male,group C,some college,standard,no,53,44,42
male,group D,high school,standard,no,88,78,75
female,group C,some high school,below standard,yes,71,84,87
female,group C,high school,below standard,no,33,41,43
female,group E,associate's degree,standard,yes,82,85,86
male,group D,associate's degree,standard,no,52,55,49
male,group D,some college,standard,yes,58,59,58
female,group C,some high school,below standard,no,0,17,10
male,group E,bachelor's degree,below standard,yes,79,74,72
male,group A,some high school,below standard,no,39,39,34
male,group A,associate's degree,below standard,no,62,61,55
female,group C,associate's degree,standard,no,69,80,71
female,group D,some high school,standard,no,59,58,59
male,group B,some high school,standard,no,67,64,61
male,group D,some high school,below standard,no,45,37,37
female,group C,some college,standard,no,60,72,74
male,group B,associate's degree,below standard,no,61,58,56
female,group C,associate's degree,standard,no,39,64,57
female,group D,some college,below standard,yes,58,63,73
male,group D,some college,standard,yes,63,55,63
female,group A,associate's degree,below standard,no,41,51,48
male,group C,some high school,below standard,no,61,57,56
male,group C,some high school,standard,no,49,49,41
male,group B,associate's degree,below standard,no,44,41,38
male,group E,some high school,standard,no,30,26,22
male,group A,bachelor's degree,standard,yes,80,78,81
female,group D,some high school,standard,yes,61,74,72
female,group E,master's degree,standard,no,62,68,68
female,group B,associate's degree,standard,no,47,49,50
male,group B,high school,below standard,no,49,45,45
male,group A,some college,below standard,yes,50,47,54
male,group E,associate's degree,standard,no,72,64,63
male,group D,high school,below standard,no,42,39,34
female,group C,some college,standard,no,73,80,82
female,group C,some college,below standard,no,76,83,88
female,group D,associate's degree,standard,no,71,71,74
female,group A,some college,standard,no,58,70,67
female,group D,some high school,standard,no,73,86,82
female,group C,bachelor's degree,standard,no,65,72,74
male,group C,high school,below standard,no,27,34,36
male,group C,high school,standard,no,71,79,71
male,group C,associate's degree,below standard,yes,43,45,50
female,group B,some college,standard,no,79,86,92
male,group C,associate's degree,below standard,yes,78,81,82
male,group B,some high school,standard,yes,65,66,62
female,group E,some college,standard,yes,63,72,70
female,group D,some college,below standard,no,58,67,62
female,group D,bachelor's degree,standard,no,65,67,62
male,group B,some college,standard,no,79,67,67
male,group D,bachelor's degree,standard,yes,68,74,74
female,group D,associate's degree,standard,no,85,91,89
male,group B,high school,standard,yes,60,44,47
male,group C,some college,standard,yes,98,86,90
female,group C,some college,standard,no,58,67,72
female,group D,master's degree,standard,no,87,100,100
male,group E,associate's degree,standard,yes,66,63,64
female,group B,associate's degree,below standard,no,52,76,70
female,group B,some high school,standard,no,70,64,72
female,group D,associate's degree,below standard,yes,77,89,98
male,group C,high school,standard,no,62,55,49
male,group A,associate's degree,standard,no,54,53,47
female,group D,some college,standard,no,51,58,54
female,group E,bachelor's degree,standard,yes,99,100,100
male,group C,high school,standard,no,84,77,74
female,group B,bachelor's degree,below standard,no,75,85,82
female,group D,bachelor's degree,standard,no,78,82,79
female,group D,some high school,standard,no,51,63,61
female,group C,some college,standard,no,55,69,65
female,group C,bachelor's degree,standard,yes,79,92,89
male,group B,associate's degree,standard,yes,91,89,92
female,group C,some college,standard,yes,88,93,93
male,group D,high school,below standard,no,63,57,56
male,group E,some college,standard,no,83,80,73
female,group B,high school,standard,no,87,95,86
male,group B,some high school,standard,no,72,68,67
male,group D,some college,standard,yes,65,77,74
male,group D,master's degree,standard,no,82,82,74
female,group A,bachelor's degree,standard,no,51,49,51
male,group D,master's degree,standard,no,89,84,82
male,group C,some high school,below standard,yes,53,37,40
male,group E,some college,below standard,yes,87,74,70
female,group C,some college,standard,yes,75,81,84
male,group D,bachelor's degree,below standard,yes,74,79,75
male,group C,bachelor's degree,standard,no,58,55,48
male,group B,some high school,standard,yes,51,54,41
male,group E,high school,standard,no,70,55,56
